id;razao social;endereco;bairro;bandeira
1;Afogados Comercio de Combustivel Ltda - Epp;Rua Cosme Viana, 721 Loja 1;Afogados;SETTA DISTRIBUIDORA
2;Posto Avenida Recife Ltda;Avenida Recife, 2981;Ipsep;FEDERAL
3;Nvc Comercio de Combustiveis Eireli;Avenida Norte Miguel Arraes de Alencar, 2905;Encruzilhada;BRANCA
4;Mega Posto Ltda;Avenida Marechal Masc.de Moraes, 1022;Imbiribeira;IPIRANGA
5;Energy Derivados de Petroleo Ltda;Rua Jaticy, 53;Imbiribeira;PETROBRAS DISTRIBUIDORA S.A.
6;Serv- Norte Comércio de Combustiveis Ltda;Rua Jose Osorio, 153;Madalena;BRANCA
7;Posto Sejal Ltda.;Avenida Militar, 545;Recife;PETROBRAS DISTRIBUIDORA S.A.
8;Monteneses Ltda;Avenida Marechal Mascarenhas de Morais, 3000 0;Imbiribeira;IPIRANGA
9;Petrocal Petroleo Cavalcanti Limitada;Avenida Marechal Mascarenhas de Morais, 1854;Imbiribeira;PETROBRAS DISTRIBUIDORA S.A.
10;Posto Apipucos Ltda;Rua Professor Trajano de Mendonca, 440;Torre;RAIZEN
11;M M Petróleo Ltda;Avenida Agamenon Magalhães, S/n Módulo 04;Santo Amaro;PETROBRAS DISTRIBUIDORA S.A.
12;Posto Ypiranga Ltda - Me;Rua Futuro, 436;Aflitos;PETROBRAS DISTRIBUIDORA S.A.
13;Cjcm Petroleo Ltda.;Avenida Marechal Mascarenhas de Morais, 4900;Imbiribeira;RAIZEN
14;Posto Xingu Ltda;Rua Joao Tude de Melo, 91;Parnamirim;IPIRANGA
15;Posto Modelo Ltda;Avenida Professor Joao Medeiros, 233;Boa Viagem;IPIRANGA
16;Posto Elo Ltda;Estrada dos Remedios, 879;Afogados;IPIRANGA
17;Petrocal Petroleo Cavalcanti Limitada;Avenida Engenheiro Abdias de Carvalho, 720;Torroes;PETROBRAS DISTRIBUIDORA S.A.
18;Posto Escadense Eireli;Rua Barao de Souza Leao, 939 Parte;Boa Viagem;BRANCA
19;Posto de Combustíveis Cdu Ltda.;Rua General Polidoro, 1050;Várzea;PETROBRAS DISTRIBUIDORA S.A.
20;Posto Cayman Ltda.;Estrada de Belem, 1218;Campo Grande;BRANCA
21;Carrefour Comercio e Industria Ltda;Rua José Bonifácio, 1315 Parte;Torre;RAIZEN
22;Companhia Brasileira de Distribuicao;Avenida Engenheiro Abdias de Carvalho, 336;Madalena;IPIRANGA
23;Companhia Brasileira de Distribuicao;Estrada dos Remedios, 2464;Ilha do Retiro;RAIZEN
24;Posto Tacaruna Ltda;Avenida Cruz Cabuga, 991;Santo Amaro;IPIRANGA
25;Postos Fvv - Eireli;Avenida Militar, 550;Bairro do Recife;RAIZEN
26;Teixeira & Filhos Ltda.;Avenida Norte, 6999;Casa Amarela;BRANCA
27;Norte Braz Ltda - Me;Rua Sao Bento, 340;Agua Fria;BRANCA
28;Posto Silva & Araujo Ltda - Me;Avenida Caxanga, 2615;Cordeiro;BRANCA
29;Petroleo Cosmorama Ltda;Rua Cosmorama, 548;Boa Viagem;PETROBRAS DISTRIBUIDORA S.A.
30;Torre Comércio de Combustíveis Ltda - Me.;Rua Real da Torre, 954;Madalena;BRANCA
31;A B Silva e Cia Ltda;Avenida Beberibe, 1021;Arruda;PETROBRAS DISTRIBUIDORA S.A.
32;Posto Cancun Ltda;Estrada de Belem, 736;Campo Grande;TDC DISTRIBUIDORA
33;Ac Norte Ltda.;Avenida Norte, 1002;Santo Amaro;BRANCA
34;Petrovel Petróleo Veloso Ltda.;Avenida Alfredo Lisboa, 173 Terreo;Bairro do Recife;PETROBRAS DISTRIBUIDORA S.A.
35;Posto Modelo Ltda;Avenida Caxanga, 2864;Iputinga;RAIZEN
36;Mf Comércio de Derivados de Petróleo Ltda.;Avenida Joaquim Ribeiro, 1345;Várzea;PETROBRAS DISTRIBUIDORA S.A.
37;Geraldo Vieira e Cia Ltda.;Avenida Caxangá, 4500;Iputinga;RAIZEN
38;Cemopel Cm Petroleo Ltda;Rua Rio Azul, 219;Boa Viagem;RAIZEN
39;Cjcm Petroleo Ltda.;Rua Ernesto de Paula Santos, 525;Boa Viagem;RAIZEN
40;Nodepel - Novaes Derivados de Petroleo Ltda;Avenida Marechal Mascarenhas de Moraes, 2135;Imbiribeira;IPIRANGA
41;Cunha Derivados de Petroleo Ltda;Avenida Marechal Mascarenhas de Morais, 3468;Imbiribeira;PETROBRAS DISTRIBUIDORA S.A.
42;Abasteca Comercio de Combustiveis Ltda;Avenida Caxanga, 5808 Casa;Iputinga;RAIZEN
43;Posto de Serviços Quatro Irmãos Ltda.;Avenida Manoel Gonçalves da Luz, 901 0;Mustardinha;BRANCA
44;Gmv Combustíveis Ltda.;Avenida Joaquim Ribeiro, 675;Várzea;DISLUB
45;Mc Comercio Derivados de Petroleo Ltda;Avenida Norte, 4390 0;Tamarineira;PETROBRAS DISTRIBUIDORA S.A.
46;Terezinha Moura Andrade;Largo do Mercado do Cordeiro, S/n Box 74/79;Cordeiro;DISLUB
47;Posto Capri Comércio de Petróleo Ltda.;Avenida General San Martins, 625;Cordeiro;TDC DISTRIBUIDORA
48;Petro Caxanga Ltda;Avenida Caxangá, 4335;Iputinga;DISLUB
49;Organização de Petroleo Shopping Ltda;Rua Barão de Souza Leão, 1388 0;Boa Viagem;PETROBRAS DISTRIBUIDORA S.A.
50;Cjcm Petroleo Ltda.;Avenida Dezessete de Agosto, 2450;Monteiro;RAIZEN
51;Tacaruna Petroleo Ltda;Avenida Governador Agamenon, 1101;Santo Amaro;PETROBRAS DISTRIBUIDORA S.A.
52;Senzala Serviços Automotivos Ltda;Estrada do Arraial, 3546;Casa Amarela;RAIZEN
53;A. V. Combustiveis Ltda;Avenida 17 de Agosto, 2310;Casa Forte;DISLUB
54;Graças Combustíveis Ltda.;Avenida Conselheiro Rosa e Silva, 1550;Graças;RAIZEN
55;Auto Posto Vila Nova Ltda.;Avenida Caxanga, 1271 0;Cordeiro;PETROBRAS DISTRIBUIDORA S.A.
56;Wanderley e Claudenier Ltda;Avenida Joaquim Ribeiro, 40;Caxanga;RAIZEN
57;Posto Nova Madalena Ltda.;Rua Real da Torre, 430;Madalena;PETROBRAS DISTRIBUIDORA S.A.
58;Posto A. R. Combustivel Ltda;Praca Venacio de Rezende, 10;Afogados;BRANCA
59;Posto Leão da Ilha Ltda.;Avenida Engenheiro Abdias de Carvalho, 1055;Ilha do Retiro;PETROBRAS DISTRIBUIDORA S.A.
60;Posto Nacional Comércio de Derivados de Petróleo Ltda.;Avenida Marechal Mascarenhas de Morais, 5803;Imbiribeira;IPIRANGA
61;Petrocal Petroleo Cavalcanti Limitada;Rua Conselheiro Nabuco, 383;Casa Amarela;PETROBRAS DISTRIBUIDORA S.A.
62;Posto Abastecimento Sao Jose Ltda;Rua Imperial, 457 0;São José;PETROBRAS DISTRIBUIDORA S.A.
63;Posto Campus de Combustiveis Ltda;Rua Benfica, 919;Madalena;RAIZEN
64;Cavalcante Rabelo Ltda;Avenida Conselheiro Rosa e Silva, 2000 0;Tamarineira;RAIZEN
65;Posto Leão da Ilha Ltda.;Avenida Engenheiro Abdias de Carvalho, 125 0;Madalena;RAIZEN
66;Posto Ibiza Ltda;Avenida Manoel Goncalves da Luz, 70;Bongi;BRANCA
67;Organização de Petroleo Shopping Ltda;Estrada dos Remédios, 1235;Afogados;PETROBRAS DISTRIBUIDORA S.A.
68;Posto Sophia Ltda;Avenida Caxanga, 5405;Varzea;IPIRANGA
69;Posto Sao Felix Espinheiro Ltda - Me;Rua Santo Elias, 223;Espinheiro;IPIRANGA
70;Cadilac Petroleo Ltda.;Avenida Fernando Simoes Barbosa, 406;Boa Viagem;PETROBRAS DISTRIBUIDORA S.A.
71;P. G. Comercio de Combustiveis Ltda - Me;Rua Monte Castelo, 35;Boa Vista;IPIRANGA
72;Posto Casa Forte Ltda.;Avenida 17 de Agosto, 598;Casa Forte;PETROBRAS DISTRIBUIDORA S.A.
73;C Albuquerque Comércio de Combustíveis Ltda.;Avenida Engenheiro Abdias de Carvalho, 90;Prado;BRANCA
74;Petró Abdias Ltda;Avenida Abdias de Carvalho, 267 C;Prado Conselheiro Paulino;DISLUB
75;Petrocal Petroleo Cavalcanti Limitada;Avenida Professor Estevão Francisco da Costa, 257;Torre;BRANCA
76;Posto Internacional Ltda.;Rua Benfica, 568;Madalena;PETROBRAS DISTRIBUIDORA S.A.
77;Posto Ilheus Ltda;Rua General Joaquim Inacio, 425;Paissandu;IPIRANGA
78;Petro Jóquei Combustível Ltda.;Rua Carlos Gomes, 758;Prado;DISLUB
79;Posto Lupp Ii Ltda.;Avenida Abdias de Carvalho, 1122;Torroes;RAIZEN
80;Iguep Incorporadora Guedes Pereira Ltda;Avenida Eng Abdias de Carvalho, 1701;Bongi;PETROBRAS DISTRIBUIDORA S.A.
81;Iguep Incorporadora Guedes Pereira Ltda;Avenida Eng Abdias de Carvalho, 1142;Prado;PETROBRAS DISTRIBUIDORA S.A.
82;Posto Jockey Comercio Varejista de Combustiveis Ltda - Epp;Avenida Engenheiro Abdias de Carvalho, 1830;Prado;PETROBRAS DISTRIBUIDORA S.A.
83;Posto Apolo Ltda;Avenida Cais do Apolo, 790;Recife;IPIRANGA
84;Almeida Comercio de Der. de Petroleo Ltda;Avenida Montevideu, 336;Boa Vista;RAIZEN
85;Petrocal Petroleo Cavalcanti Limitada;Rua Sao Mateus, 26;Iputinga;PETROBRAS DISTRIBUIDORA S.A.
86;Posto Netuno Ltda;Avenida Antonio de Goes, 183;Pina;FEDERAL
87;Posto Leticia Pereira e Santos Ltda;Avenida Herculano Bandeira, Sn;Pina;PETROBRAS DISTRIBUIDORA S.A.
88;Passira Comercio de Derivados de Petroleo Ltda;Avenida João de Barros, 1179;Espinheiro;PETROBRAS DISTRIBUIDORA S.A.
89;Petrocal Petroleo Cavalcanti Limitada;Avenida Norte, 3110;Rosarinho;PETROBRAS DISTRIBUIDORA S.A.
90;Posto Albatex Ltda;Avenida Professor Moraes Rego, 670;Varzea;IPIRANGA
91;Posto Leão da Ilha Ltda.;Avenida Engenheiro Abdias de Carvalho, 125 0;Madalena;RAIZEN
92;Posto Xingu Ltda;Rua Joao Tude de Melo, 91;Parnamirim;IPIRANGA
93;Posto Cancun Ltda;Estrada de Belem, 736;Campo Grande;TDC DISTRIBUIDORA
94;Petrocal Petroleo Cavalcanti Limitada;Rua Conselheiro Nabuco, 383;Casa Amarela;PETROBRAS DISTRIBUIDORA S.A.
95;Posto Tacaruna Ltda;Avenida Cruz Cabuga, 991;Santo Amaro;IPIRANGA
96;Posto Cayman Ltda.;Estrada de Belem, 1218;Campo Grande;BRANCA
97;Mc Comercio Derivados de Petroleo Ltda;Avenida Norte, 4390 0;Tamarineira;PETROBRAS DISTRIBUIDORA S.A.
98;Cjcm Petroleo Ltda.;Avenida Marechal Mascarenhas de Morais, 4900;Imbiribeira;RAIZEN
99;Cjcm Petroleo Ltda.;Avenida Dezessete de Agosto, 2450;Monteiro;RAIZEN
100;Posto Elo Ltda;Estrada dos Remedios, 879;Afogados;IPIRANGA
101;Posto A. R. Combustivel Ltda;Praca Venacio de Rezende, 10;Afogados;BRANCA
102;Petrocal Petroleo Cavalcanti Limitada;Avenida Professor Estevão Francisco da Costa, 257;Torre;BRANCA
103;Posto Casa Forte Ltda.;Avenida 17 de Agosto, 598;Casa Forte;PETROBRAS DISTRIBUIDORA S.A.
104;Petrocal Petroleo Cavalcanti Limitada;Avenida Norte, 3110;Rosarinho;PETROBRAS DISTRIBUIDORA S.A.
105;Petrocal Petroleo Cavalcanti Limitada;Avenida Marechal Mascarenhas de Morais, 1854;Imbiribeira;PETROBRAS DISTRIBUIDORA S.A.
106;A B Silva e Cia Ltda;Avenida Beberibe, 1021;Arruda;PETROBRAS DISTRIBUIDORA S.A.
107;Posto Ilheus Ltda;Rua General Joaquim Inacio, 425;Paissandu;IPIRANGA
108;Posto Apipucos Ltda;Rua Professor Trajano de Mendonca, 440;Torre;RAIZEN
109;Cemopel Cm Petroleo Ltda;Rua Rio Azul, 219;Boa Viagem;RAIZEN
110;Energy Derivados de Petroleo Ltda;Rua Jaticy, 53;Imbiribeira;PETROBRAS DISTRIBUIDORA S.A.
111;Mega Posto Ltda;Avenida Marechal Masc.de Moraes, 1022;Imbiribeira;IPIRANGA
112;Posto Capri Comércio de Petróleo Ltda.;Avenida General San Martins, 625;Cordeiro;TDC DISTRIBUIDORA
113;Petrocal Petroleo Cavalcanti Limitada;Rua Sao Mateus, 26;Iputinga;PETROBRAS DISTRIBUIDORA S.A.
114;Teixeira & Filhos Ltda.;Avenida Norte, 6999;Casa Amarela;BRANCA
115;Posto Sejal Ltda.;Avenida Militar, 545;Recife;PETROBRAS DISTRIBUIDORA S.A.
116;Posto Leão da Ilha Ltda.;Avenida Engenheiro Abdias de Carvalho, 1055;Ilha do Retiro;PETROBRAS DISTRIBUIDORA S.A.
117;Posto Apolo Ltda;Avenida Cais do Apolo, 790;Recife;IPIRANGA
118;Petrocal Petroleo Cavalcanti Limitada;Avenida Engenheiro Abdias de Carvalho, 720;Torroes;PETROBRAS DISTRIBUIDORA S.A.
119;P. G. Comercio de Combustiveis Ltda - Me;Rua Monte Castelo, 35;Boa Vista;IPIRANGA
120;Posto Nova Madalena Ltda.;Rua Real da Torre, 430;Madalena;PETROBRAS DISTRIBUIDORA S.A.
121;Posto Modelo Ltda;Avenida Caxanga, 2864;Iputinga;RAIZEN
122;Cjcm Petroleo Ltda.;Rua Ernesto de Paula Santos, 525;Boa Viagem;RAIZEN
123;Posto Modelo Ltda;Avenida Professor Joao Medeiros, 233;Boa Viagem;IPIRANGA
124;Posto Abastecimento Sao Jose Ltda;Rua Imperial, 457 0;São José;PETROBRAS DISTRIBUIDORA S.A.
125;Posto Campus de Combustiveis Ltda;Rua Benfica, 919;Madalena;RAIZEN
126;Petrovel Petróleo Veloso Ltda.;Avenida Alfredo Lisboa, 173 Terreo;Bairro do Recife;PETROBRAS DISTRIBUIDORA S.A.
